epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.56963,1.89194,2.6499,6.03099,0.00334,8.8787,0,0,0,0,0,0,0,0,1.38089,2.23625,5.64597,0.0036,0,0,0,0
2,7.23956,1.47967,2.32453,5.99678,0.00331,8.88911,0,0,0,0,0,0,0,0,1.3582,2.22071,5.65078,0.00351,0,1.16832e-06,1.16832e-06,1.16832e-06
3,7.98916,1.55532,2.46935,5.99829,0.00339,8.87334,0,0,0,0,0,0,0,0,1.35862,2.2027,5.65198,0.00349,0,2.31327e-06,2.31327e-06,2.31327e-06
4,8.75295,1.78774,2.59763,6.04742,0.00335,8.86806,0,0,0,0,0,0,0,0,1.35983,2.17435,5.64445,0.00354,0,3.43486e-06,3.43486e-06,3.43486e-06
5,9.582,1.65462,2.54455,5.99828,0.00344,8.88665,0,0,0,0,0,0,0,0,1.35355,2.14569,5.63151,0.00353,0,4.53309e-06,4.53309e-06,4.53309e-06
6,10.3394,1.53518,2.31845,6.03282,0.00306,8.835,0,0,0,0,0,0,0,0,1.35298,2.1315,5.62352,0.0035,0,5.60795e-06,5.60795e-06,5.60795e-06
7,11.2166,1.47067,2.25819,6.00282,0.00327,8.85765,0,0,0,0,0,0,0,0,1.35441,2.10966,5.60846,0.00349,0,6.65945e-06,6.65945e-06,6.65945e-06
8,11.9849,1.70785,2.39013,6.05646,0.00323,8.86231,0,0,0,0,0,0,0,0,1.32831,2.06019,5.60046,0.00344,0,7.68758e-06,7.68758e-06,7.68758e-06
9,12.7551,1.69094,2.42907,6.00632,0.00301,8.84195,0,0,0,0,0,0,0,0,1.30416,2.05624,5.59596,0.00336,0,8.69235e-06,8.69235e-06,8.69235e-06
10,13.5608,1.5396,2.23834,5.93379,0.00309,8.86579,0,0,0,0,0,0,0,0,1.30066,2.04339,5.58437,0.00334,0,9.67376e-06,9.67376e-06,9.67376e-06
