epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7454,1.68592,2.72846,3.79528,0.00337,5.48118,0.00267,0.03077,9e-05,2e-05,0.014,0.16154,0.00234,0.00072,1.35325,2.13107,3.57609,0.0035,0,0.00012,0.00012,0.00012
2,17.2967,1.75298,2.58228,3.67605,0.00308,4.96433,0.03333,0.38462,0.01447,0.00588,0.04267,0.49231,0.02811,0.01381,1.24869,1.72232,3.36754,0.00323,0,0.000258713,0.000258713,0.000258713
3,20.4778,1.43912,1.98174,3.15196,0.00258,3.41874,0.052,0.6,0.13462,0.04705,0.05733,0.66154,0.16264,0.08267,1.2322,1.50281,3.30364,0.00337,0,0.00039604,0.00039604,0.00039604
4,23.6861,1.47884,1.83578,2.80993,0.00242,2.72174,0.05933,0.68462,0.25729,0.092,0.06267,0.72308,0.2701,0.13186,1.15224,1.43997,3.14749,0.00289,0,0.000531981,0.000531981,0.000531981
5,27.0981,1.3414,1.6451,2.28546,0.00233,2.01033,0.07,0.80769,0.23787,0.0977,0.074,0.85385,0.27186,0.1265,1.0181,1.30821,2.97292,0.00268,0,0.000666536,0.000666536,0.000666536
6,30.9514,1.34465,1.61467,1.73575,0.00224,1.40061,0.076,0.87692,0.1889,0.08513,0.07667,0.88462,0.22777,0.11865,1.0531,1.52713,2.70465,0.0026,0,0.000799705,0.000799705,0.000799705
7,34.2463,1.25254,1.5236,1.61069,0.00216,0.99935,0.07533,0.86923,0.55292,0.34386,0.07733,0.89231,0.57603,0.36873,1.16631,1.33863,2.37827,0.0031,0,0.000931488,0.000931488,0.000931488
8,37.796,1.30119,1.37941,1.41962,0.00216,0.77791,0.084,0.96923,0.66191,0.42821,0.084,0.96923,0.66555,0.40468,1.0775,1.26548,2.27683,0.00288,0,0.00106188,0.00106188,0.00106188
9,41.4472,1.30887,1.51018,1.36055,0.00221,0.67084,0.08533,0.98462,0.78316,0.53058,0.08467,0.97692,0.76315,0.44574,1.05357,1.19354,2.16517,0.00268,0,0.0011909,0.0011909,0.0011909
10,44.7831,1.3016,1.46597,1.27226,0.00213,0.58802,0.08533,0.98462,0.81622,0.55097,0.084,0.96923,0.77576,0.42091,1.05129,1.18309,2.10044,0.00277,0,0.00131852,0.00131852,0.00131852
