epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
33,32.8596,1.2837,1.81968,5.54883,0.00243,8.68118,0,0,0,0,0,0,0,0,1.15699,1.69444,5.4632,0.00292,0,2.57976e-05,2.57976e-05,2.57976e-05
34,33.6322,1.45892,1.91047,5.55921,0.00266,8.64977,0,0,0,0,0,0,0,0,1.15699,1.69444,5.4632,0.00292,0,2.62183e-05,2.62183e-05,2.62183e-05
35,34.5255,1.39078,1.82599,5.57255,0.00253,8.64789,0,0,0,0,0,0,0,0,1.14385,1.66827,5.4647,0.00292,0,2.66156e-05,2.66156e-05,2.66156e-05
36,35.2813,1.36381,1.74485,5.54119,0.00243,8.64121,0,0,0,0,0,0,0,0,1.14385,1.66827,5.4647,0.00292,0,2.69895e-05,2.69895e-05,2.69895e-05
37,36.1222,1.41508,1.77831,5.51795,0.00254,8.61812,0,0,0,0,0,0,0,0,1.1399,1.64859,5.45654,0.00288,0,2.73401e-05,2.73401e-05,2.73401e-05
38,36.8787,1.41501,1.79284,5.51305,0.00245,8.60595,0,0,0,0,0,0,0,0,1.1399,1.64859,5.45654,0.00288,0,2.76673e-05,2.76673e-05,2.76673e-05
39,37.6792,1.51624,1.92483,5.56245,0.00256,8.61905,0,0,0,0,0,0,0,0,1.12592,1.62003,5.45265,0.00284,0,2.79712e-05,2.79712e-05,2.79712e-05
40,38.5627,1.71676,2.07284,5.55014,0.00262,8.59966,0,0,0,0,0,0,0,0,1.12592,1.62003,5.45265,0.00284,0,2.82517e-05,2.82517e-05,2.82517e-05
41,39.3655,1.44341,1.91721,5.51567,0.00251,8.5645,0,0,0,0,0,0,0,0,1.11701,1.5892,5.4533,0.00278,0,2.85088e-05,2.85088e-05,2.85088e-05
42,40.1112,1.44291,1.83866,5.50435,0.00239,8.57663,0,0,0,0,0,0,0,0,1.11701,1.5892,5.4533,0.00278,0,2.87426e-05,2.87426e-05,2.87426e-05
43,40.93,1.52786,2.02076,5.50608,0.00252,8.55015,0,0,0,0,0,0,0,0,1.10995,1.56605,5.44549,0.00275,0,2.8953e-05,2.8953e-05,2.8953e-05
44,41.7176,1.24316,1.59775,5.45221,0.00242,8.59216,0,0,0,0,0,0,0,0,1.10995,1.56605,5.44549,0.00275,0,2.914e-05,2.914e-05,2.914e-05
45,42.5783,1.21064,1.60247,5.43694,0.00235,8.56337,0,0,0,0,0,0,0,0,1.10482,1.55351,5.43097,0.00274,0,2.93036e-05,2.93036e-05,2.93036e-05
46,43.3336,1.40325,1.85314,5.47137,0.00237,8.514,0,0,0,0,0,0,0,0,1.10482,1.55351,5.43097,0.00274,0,2.94439e-05,2.94439e-05,2.94439e-05
47,44.1199,1.24549,1.56643,5.43581,0.0023,8.52188,0,0,0,0,0,0,0,0,1.09749,1.51119,5.41896,0.00272,0,2.95609e-05,2.95609e-05,2.95609e-05
