epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01792,1.89194,2.6499,6.03099,0.00334,8.8787,0,0,0,0,0,0,0,0,1.38089,2.23625,5.64597,0.0036,0,0,0,0
2,2.03474,1.47967,2.32453,5.99678,0.00331,8.88911,0,0,0,0,0,0,0,0,1.3582,2.22071,5.65078,0.00351,0,1.16832e-06,1.16832e-06,1.16832e-06
3,2.77918,1.55532,2.46935,5.99829,0.00339,8.87334,0,0,0,0,0,0,0,0,1.35857,2.19749,5.65194,0.00349,0,2.31327e-06,2.31327e-06,2.31327e-06
4,3.49902,1.78774,2.59763,6.04742,0.00335,8.86806,0,0,0,0,0,0,0,0,1.35985,2.17057,5.64929,0.00353,0,3.43486e-06,3.43486e-06,3.43486e-06
5,4.34179,1.65462,2.54455,5.99828,0.00344,8.88665,0,0,0,0,0,0,0,0,1.35355,2.14569,5.63151,0.00353,0,4.53309e-06,4.53309e-06,4.53309e-06
6,5.18275,1.53518,2.31845,6.03282,0.00306,8.835,0,0,0,0,0,0,0,0,1.35298,2.1315,5.62352,0.0035,0,5.60795e-06,5.60795e-06,5.60795e-06
7,6.01301,1.47067,2.25819,6.00282,0.00327,8.85765,0,0,0,0,0,0,0,0,1.35441,2.10966,5.60846,0.00349,0,6.65945e-06,6.65945e-06,6.65945e-06
8,6.94922,1.70785,2.39013,6.05646,0.00323,8.86231,0,0,0,0,0,0,0,0,1.33545,2.04331,5.59177,0.00346,0,7.68758e-06,7.68758e-06,7.68758e-06
9,7.78531,1.69094,2.42907,6.00632,0.00301,8.84195,0,0,0,0,0,0,0,0,1.31114,2.05256,5.58725,0.00338,0,8.69235e-06,8.69235e-06,8.69235e-06
10,8.59652,1.5396,2.23834,5.93379,0.00309,8.86579,0,0,0,0,0,0,0,0,1.3113,2.03635,5.57062,0.00338,0,9.67376e-06,9.67376e-06,9.67376e-06
11,9.48025,1.94582,2.75597,5.99613,0.00317,8.84242,0,0,0,0,0,0,0,0,1.30626,2.01402,5.5499,0.0034,0,1.06318e-05,1.06318e-05,1.06318e-05
12,10.2873,1.75292,2.50389,5.97897,0.00308,8.82662,0,0,0,0,0,0,0,0,1.28864,1.99331,5.54941,0.00334,0,1.15665e-05,1.15665e-05,1.15665e-05
13,11.0733,1.4626,2.15249,5.96796,0.00298,8.81471,0,0,0,0,0,0,0,0,1.28323,1.97506,5.53736,0.00333,0,1.24778e-05,1.24778e-05,1.24778e-05
14,11.8909,1.57689,2.31429,5.93639,0.00311,8.83918,0,0,0,0,0,0,0,0,1.26131,1.93268,5.53314,0.00328,0,1.33657e-05,1.33657e-05,1.33657e-05
15,12.8584,1.74233,2.6706,5.93452,0.003,8.81554,0,0,0,0,0,0,0,0,1.24871,1.9138,5.52452,0.00325,0,1.42303e-05,1.42303e-05,1.42303e-05
16,13.6839,1.49876,2.11197,5.91997,0.00303,8.80471,0,0,0,0,0,0,0,0,1.22463,1.87194,5.51436,0.00322,0,1.50715e-05,1.50715e-05,1.50715e-05
17,14.4916,1.71231,2.38665,5.91867,0.00307,8.79952,0,0,0,0,0,0,0,0,1.20336,1.88197,5.5091,0.00318,0,1.58894e-05,1.58894e-05,1.58894e-05
